¿Cuál es tu nivel de R?,Tutoriales de introducción a R,Tutoriales de paquetes de R,Otros tutoriales de R,Presentaciones de investigación,Presentaciones de trabajos en R,Ofertas de trabajo de R,Networking,Mentoring,Otros,Si has marcado otros en la pregunta anterior o quieres dejarnos un comentario,¡Vaya! ¡Me pierdo la primera reunión! ¿Nos puedes decir por qué? ¿No te viene bien? ¿No te interesa nada de lo que proponemos?
Lo uso hasta para hacerme las tostadas.,,Tutoriales de paquetes de R,Otros tutoriales de R,Presentaciones de investigación,Presentaciones de trabajos en R,,Networking,Mentoring,Otros,Desarrollo/contribución open source de paquetes que veamos necesarios?,
"Es mi compañero de trabajo, me espera todas las mañanas.",,Tutoriales de paquetes de R,Otros tutoriales de R,Presentaciones de investigación,Presentaciones de trabajos en R,,Networking,Mentoring,Otros,Visualizaciones con shiny,No me la pierdo!
"Me manejo, lo uso de vez en cuando.",Tutoriales de introducción a R,Tutoriales de paquetes de R,,,,,,,,,
¿R? ¿Cómo en Roquefort?,Tutoriales de introducción a R,Tutoriales de paquetes de R,Otros tutoriales de R,,,,Networking,,,,
"Sé algo, pero como las meigas.",Tutoriales de introducción a R,Tutoriales de paquetes de R,Otros tutoriales de R,Presentaciones de investigación,Presentaciones de trabajos en R,Ofertas de trabajo de R,Networking,Mentoring,,,
"Sé algo, pero como las meigas.",Tutoriales de introducción a R,,,Presentaciones de investigación,,Ofertas de trabajo de R,Networking,,,,
"Es mi compañero de trabajo, me espera todas las mañanas.",,Tutoriales de paquetes de R,Otros tutoriales de R,,Presentaciones de trabajos en R,Ofertas de trabajo de R,Networking,Mentoring,,,Espero no perdérmela jejeje
"Me manejo, lo uso de vez en cuando.",,,,Presentaciones de investigación,,,Networking,,,,
"Me manejo, lo uso de vez en cuando.",,Tutoriales de paquetes de R,Otros tutoriales de R,Presentaciones de investigación,Presentaciones de trabajos en R,,Networking,Mentoring,,,
"Sé algo, pero como las meigas.",Tutoriales de introducción a R,Tutoriales de paquetes de R,,,Presentaciones de trabajos en R,,,Mentoring,,,
"Me manejo, lo uso de vez en cuando.",,Tutoriales de paquetes de R,,,,,,,,,
"Es mi compañero de trabajo, me espera todas las mañanas.",,Tutoriales de paquetes de R,Otros tutoriales de R,Presentaciones de investigación,Presentaciones de trabajos en R,Ofertas de trabajo de R,,Mentoring,,,
"Es mi compañero de trabajo, me espera todas las mañanas.",,Tutoriales de paquetes de R,,,Presentaciones de trabajos en R,,,,,,
"Me manejo, lo uso de vez en cuando.",,Tutoriales de paquetes de R,Otros tutoriales de R,Presentaciones de investigación,Presentaciones de trabajos en R,Ofertas de trabajo de R,Networking,Mentoring,,,
¿R? ¿Cómo en Roquefort?,Tutoriales de introducción a R,,,Presentaciones de investigación,,,Networking,,,,
"Es mi compañero de trabajo, me espera todas las mañanas.",,Tutoriales de paquetes de R,,Presentaciones de investigación,,Ofertas de trabajo de R,Networking,,,,
"Me manejo, lo uso de vez en cuando.",,Tutoriales de paquetes de R,,Presentaciones de investigación,Presentaciones de trabajos en R,Ofertas de trabajo de R,,,,,
"Sé algo, pero como las meigas.",,Tutoriales de paquetes de R,,Presentaciones de investigación,,,,,,,
¿R? ¿Cómo en Roquefort?,Tutoriales de introducción a R,,,,Presentaciones de trabajos en R,Ofertas de trabajo de R,Networking,,,,
¿R? ¿Cómo en Roquefort?,Tutoriales de introducción a R,Tutoriales de paquetes de R,,Presentaciones de investigación,Presentaciones de trabajos en R,Ofertas de trabajo de R,Networking,Mentoring,,,
"Me manejo, lo uso de vez en cuando.",,Tutoriales de paquetes de R,Otros tutoriales de R,Presentaciones de investigación,Presentaciones de trabajos en R,,,,,,
"Sé algo, pero como las meigas.",,,,,,,,,Otros,,
"Me manejo, lo uso de vez en cuando.",,,,Presentaciones de investigación,Presentaciones de trabajos en R,Ofertas de trabajo de R,Networking,,,a,
"Me manejo, lo uso de vez en cuando.",,Tutoriales de paquetes de R,,,Presentaciones de trabajos en R,,,,,,
"Sé algo, pero como las meigas.",Tutoriales de introducción a R,Tutoriales de paquetes de R,,,Presentaciones de trabajos en R,Ofertas de trabajo de R,Networking,Mentoring,,,
"Me manejo, lo uso de vez en cuando.",Tutoriales de introducción a R,Tutoriales de paquetes de R,Otros tutoriales de R,,Presentaciones de trabajos en R,,Networking,Mentoring,,,
Lo uso hasta para hacerme las tostadas.,,Tutoriales de paquetes de R,Otros tutoriales de R,Presentaciones de investigación,Presentaciones de trabajos en R,Ofertas de trabajo de R,,,,,
"Me manejo, lo uso de vez en cuando.",,Tutoriales de paquetes de R,,Presentaciones de investigación,Presentaciones de trabajos en R,,Networking,Mentoring,,,
