Provincia;Anio;Prod_total_miles_lt
A Coruna;1998;905556
Lugo;1998;929614
Ourense;1998;50642
Pontevedra;1998;242274
A Coruna;1999;923102
Lugo;1999;949576
Ourense;1999;43976
Pontevedra;1999;252563
A Coruna;2000;971779
Lugo;2000;908849
Ourense;2000;39232
Pontevedra;2000;261279
A Coruna;2001;1030157
Lugo;2001;983098
Ourense;2001;30178
Pontevedra;2001;270986
A Coruna;2002;1014861
Lugo;2002;1000834
Ourense;2002;30257
Pontevedra;2002;268099
A Coruna;2003;945244
Lugo;2003;978377
Ourense;2003;30271
Pontevedra;2003;267659
A Coruna;2004;956199
Lugo;2004;958395
Ourense;2004;26737
Pontevedra;2004;227659
A Coruna;2005;956889
Lugo;2005;1019093
Ourense;2005;24434
Pontevedra;2005;257701
A Coruna;2006;959373
Lugo;2006;1030498
Ourense;2006;26150
Pontevedra;2006;258777
A Coruna;2007;964007
Lugo;2007;1035476
Ourense;2007;26277
Pontevedra;2007;260028
A Coruna;2008;990835
Lugo;2008;1047801
Ourense;2008;22274
Pontevedra;2008;247861
A Coruna;2009;976516
Lugo;2009;1036344
Ourense;2009;22348
Pontevedra;2009;251579
A Coruna;2010;1004884
Lugo;2010;1048252
Ourense;2010;23000
Pontevedra;2010;261406
A Coruna;2011;1036374
Lugo;2011;1123128
Ourense;2011;20816
Pontevedra;2011;291756
A Coruna;2012;1006717
Lugo;2012;1113177
Ourense;2012;23031
Pontevedra;2012;289870
A Coruna;2013;1050459
Lugo;2013;1140627
Ourense;2013;22403
Pontevedra;2013;296087
A Coruna;2014;1089063
Lugo;2014;1166909
Ourense;2014;22159
Pontevedra;2014;296875
A Coruna;2015;1109817
Lugo;2015;1201924
Ourense;2015;20944
Pontevedra;2015;314934
A Coruna;2016;1102594
Lugo;2016;1182397
Ourense;2016;19388
Pontevedra;2016;323229
