ESTACION;NOMBRE_ESTACION;LONGITUD;LATITUD
4;Pza. de España;-3.7122567;40.4238823
8;Escuelas Aguirre;-3.6823158;40.4215533
11;Avda. Ramón y Cajal;-3.6773491;40.4514734
16;Arturo Soria;-3.6392422;40.4400457
17;Villaverde;-3.7133167;40.347147
18;Farolillo;-3.7318356;40.3947825
24;Casa de Campo;-3.7473445;40.4193577
27;Barajas Pueblo;-3.5800258;40.4769179
35;Pza. del Carmen;-3.7031662;40.4192091
36;Moratalaz;-3.6453104;40.4079517
38;Cuatro Caminos;-3.7071303;40.4455439
39;Barrio del Pilar;-3.7115364;40.4782322
40;Vallecas;-3.6515286;40.3881478
47;Mendez Alvaro;-3.6868138;40.3980991
48;Castellana;-3.6903729;40.4398904
49;Parque del Retiro;-3.6824999;40.4144444
50;Plaza Castilla;-3.6887449;40.4655841
54;Ensanche de Vallecas;-3.6121394;40.3730118
55;Urb. Embajada;-3.5805649;40.4623628
56;Pza. Elíptica;-3.7187679;40.3850336
57;Sanchinarro;-3.6605173;40.4942012
58;El Pardo;-3.7746101;40.5180701
59;Juan Carlos I;-3.6163407;40.4607255
60;Tres Olivos;-3.6897308;40.5005477
